18,150.283,78,37.7428
35,449.611,317,53.7675
18,279.612,508,49.5908
12,161.884,38,46.5374
32,236.487,560,46.699
19,200.435,361,45.7374
22,192.437,758,42.8523
18,168.407,573,40.5132
18,145.192,573,38.7249
12,116.71,25,35.9607
18,147.496,136,37.5597
26,160.605,243,42.7701
15,154.528,356,42.3382
20,174.046,403,40.8099
22,169.038,336,39.8358
47,189.277,677,38.7504
30,208.659,296,42.2594
25,191.339,578,41.1638
22,169.798,387,39.5426
47,197.454,541,38.4827
18,150.244,482,42.424
24,184.745,400,41.4998
19,166.097,535,39.7968
17,157.79,500,38.563
12,115.192,41,36.6366
29,167.476,698,41.4581
22,176.771,487,39.9913
40,206.334,744,37.8783
19,154.216,729,41.5333
23,209.787,654,40.3286
20,164.512,478,38.7403
17,152.42,579,40.3512
16,152.813,280,41.9622
21,177.294,483,39.8034
16,143.29,510,38.4958
34,178.586,543,40.2112
19,185.182,550,41.9748
19,162.953,511,39.501
17,158.907,716,37.7739
28,201.385,738,42.3831
19,164.982,658,39.5212
19,155.234,613,38.0826
17,182.019,397,42.9281
14,149.68,496,41.4734
18,166.214,649,39.1626
18,150.592,210,38.4343
35,446.845,65,54.4692
